Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
Toa Payoh North 3,Toa Payoh North 3,1008,Toa Payoh North,1.34296,103.845957,TOA PAYOH,TP,Central
Aperia The Annex,Aperia The Annex,12,Kallang Avenue ,1.309713,103.864287,KALLANG,KL,Central
Paya Lebar Quarter Tower 1,Paya Lebar Quarter Tower 1,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
Paya Lebar Quarter Tower 2,Paya Lebar Quarter Tower 2,1,Paya Lebar Link ,1.317726,103.894022,GEYLANG,GL,Central
Paya Lebar Quarter Tower 3,Paya Lebar Quarter Tower 3,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
Excalibur Centre ,Excalibur Centre,71,Ubi Crescent,1.326929,103.898311,GEYLANG,GL,Central
730 Geylang Road,730 Geylang Road,730,Geylang Road,1.314844,103.891757,GEYLANG,GL,Central
Paya Lebar Office Centre Block 1,Paya Lebar Office Centre Block 1,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
Paya Lebar Office Centre Block 2,Paya Lebar Office Centre Block 2,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
Yenom Industrial Building,Yenom Industrial Building,123,Genting Lane,1.323945,103.878496,GEYLANG,GL,Central
UB Point,UB Point,61,Ubi Avenue 1,1.324905,103.894356,GEYLANG,GL,Central
OC@Pasir Panjang,OC@Pasir Panjang,100H,Pasir Panjang,1.278129,103.7967543,QUEENSTOWN,QT,Central
3 Depot Close,3 Depot Close,3,Depot Close,1.283198,103.80673,BUKIT MERAH,BM,Central
Centropod @ Changi,Centropod @ Changi,80,Changi Road,1.316306,103.900558,GEYLANG,GL,Central
Vanguard Campus,Vanguard Campus,1,Kallang Junction,1.312465,103.864196,KALLANG,KL,Central
724 Geylang Road,724 Geylang Road,724,Geylang Road,1.314801,103.891624,GEYLANG,GL,Central
Paya Lebar Office Centre - Block 1,Paya Lebar Office Centre - Block 1,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
Paya Lebar Office Centre - Block 2,Paya Lebar Office Centre - Block 2,29,Paya Lebar Road,1.3170487,103.8919536,GEYLANG,GL,Central
The Grandstand,The Grandstand,200,Turf Club Road,1.33796,103.793476,BUKIT TIMAH,BT,Central
CT Hub 2,CT Hub 2,114,Lavender Street,1.311595,103.863077,KALLANG,KL,Central
Vertex Tower B,Vertex Tower B,33,Ubi Avenue 3,1.332934,103.894165,GEYLANG,GL,Central
Interlocal Centre ,Interlocal Centre,100G,Pasir Panjang Road,1.277484,103.796463,QUEENSTOWN,QT,Central
Katong Point,Katong Point,451,Joo Chiat Road,1.306929,103.904523,MARINE PARADE,MP,Central
35 Boon Leat Terrace,35 Boon Leat Terrace,35,Boon Leat Terrace,1.275683,103.796964,QUEENSTOWN,QT,Central
